City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Hithadhoo,MV,2022-07-10 22:20:43,-0.6,73.0833,82.17,70,100,3.2
1,Busselton,AU,2022-07-10 22:26:22,-33.65,115.3333,54.82,63,96,2.8
2,Provideniya,RU,2022-07-10 22:26:22,64.3833,-173.3,51.91,87,75,11.18
3,Chapais,CA,2022-07-10 22:26:22,49.7834,-74.8492,60.58,74,97,17.83
4,Mildura,AU,2022-07-10 22:14:23,-34.2,142.15,44.67,73,100,8.9
5,Roald,NO,2022-07-10 22:23:14,62.5833,6.1333,57.16,87,75,3.44
6,Kyra,RU,2022-07-10 22:26:23,49.5776,111.9753,50.72,87,100,3.22
7,Airai,TL,2022-07-10 22:16:45,-8.9266,125.4092,54.88,91,85,3.76
8,Tura,IN,2022-07-10 22:18:09,25.5198,90.2201,74.75,95,85,4.81
9,Svetlyy,RU,2022-07-10 22:20:33,54.675,20.1347,59.97,74,23,8.81
10,Nome,US,2022-07-10 22:26:24,64.5011,-165.4064,69.12,67,0,12.66
11,Rikitea,PF,2022-07-10 22:26:24,-23.1203,-134.9692,72.91,77,13,3.98
12,Vizinga,RU,2022-07-10 22:26:25,61.0749,50.1031,62.47,92,49,3.27
13,Vaini,TO,2022-07-10 22:26:25,-21.2,-175.2,78.96,78,75,10.36
14,Baft,IR,2022-07-10 22:26:25,29.234,56.6057,73.02,28,100,3.91
15,Los Zacatones,MX,2022-07-10 22:26:26,22.95,-102.05,80.55,25,55,11.92
16,Aykhal,RU,2022-07-10 22:26:26,66.0,111.5,60.53,55,100,5.41
17,Mehamn,NO,2022-07-10 22:26:26,71.0357,27.8492,53.55,87,100,2.3
18,Konyshevka,RU,2022-07-10 22:26:27,51.8418,35.2941,63.81,80,100,5.28
19,Faya,SA,2022-07-10 22:26:27,18.3851,42.4509,68.11,39,88,3.13
20,Bhinga,IN,2022-07-10 22:26:27,27.7167,81.9333,87.67,59,39,7.74
21,Ushuaia,AR,2022-07-10 22:25:48,-54.8,-68.3,31.66,74,20,3.44
22,East London,ZA,2022-07-10 22:26:28,-33.0153,27.9116,61.66,69,85,15.3
23,Cape Town,ZA,2022-07-10 22:26:28,-33.9258,18.4232,55.38,90,0,3.44
24,Bluff,NZ,2022-07-10 22:26:29,-46.6,168.3333,35.8,78,71,14.97
25,Rocha,UY,2022-07-10 22:23:26,-34.4833,-54.3333,66.97,86,96,4.12
26,Albany,US,2022-07-10 22:25:54,42.6001,-73.9662,81.18,37,67,3.09
27,Bandarbeyla,SO,2022-07-10 22:20:29,9.4942,50.8122,75.65,78,56,30.85
28,Te Anau,NZ,2022-07-10 22:26:29,-45.4167,167.7167,32.58,86,100,0.96
29,Kaman,IN,2022-07-10 22:26:30,27.65,77.2667,86.45,70,93,5.21
30,Cherskiy,RU,2022-07-10 22:16:49,68.75,161.3,57.22,44,95,10.04
31,Tiksi,RU,2022-07-10 22:16:51,71.6872,128.8694,49.44,75,28,11.23
32,Kawalu,ID,2022-07-10 22:26:30,-7.3817,108.2082,68.83,96,83,1.9
33,Lebu,CL,2022-07-10 22:17:51,-37.6167,-73.65,48.0,83,4,7.02
34,Sitka,US,2022-07-10 22:23:04,57.0531,-135.33,62.49,55,100,14.97
35,Kaniama,CD,2022-07-10 22:26:31,-7.5667,24.1833,68.43,36,1,4.92
36,Luderitz,NA,2022-07-10 22:19:25,-26.6481,15.1594,56.07,74,0,11.99
37,Buala,SB,2022-07-10 22:23:08,-8.145,159.5921,82.54,72,98,5.41
38,Kruisfontein,ZA,2022-07-10 22:18:10,-34.0033,24.7314,52.88,87,64,10.29
39,Churapcha,RU,2022-07-10 22:26:32,62.0025,132.4325,70.29,92,90,14.99
40,Mayo,US,2022-07-10 22:26:32,38.8876,-76.5119,83.35,65,75,10.36
41,Kongolo,CD,2022-07-10 22:26:32,-5.3833,27.0,75.27,41,48,3.29
42,Ust-Maya,RU,2022-07-10 22:26:33,60.4167,134.5333,71.37,83,74,10.87
43,Upernavik,GL,2022-07-10 22:16:43,72.7868,-56.1549,38.89,84,50,4.61
44,Tuensang,IN,2022-07-10 22:26:33,26.2833,94.8333,69.33,99,92,3.67
45,Port Hedland,AU,2022-07-10 22:26:33,-20.3167,118.5667,50.05,62,2,9.22
46,Kushima,JP,2022-07-10 22:26:34,31.4583,131.2333,78.12,85,53,2.28
47,Millau,FR,2022-07-10 22:27:34,44.0833,2.9167,71.73,56,0,5.14
48,Punta Arenas,CL,2022-07-10 22:27:34,-53.15,-70.9167,30.31,86,20,6.91
49,Tasiilaq,GL,2022-07-10 22:27:35,65.6145,-37.6368,48.36,77,42,1.5
50,Mount Gambier,AU,2022-07-10 22:19:19,-37.8333,140.7667,47.26,62,100,11.07
51,Muisne,EC,2022-07-10 22:24:29,0.6,-80.0333,75.54,78,82,8.28
52,Chokurdakh,RU,2022-07-10 22:24:15,70.6333,147.9167,66.15,43,99,10.38
53,Kavieng,PG,2022-07-10 22:21:52,-2.5744,150.7967,82.56,75,58,12.46
54,Georgetown,MY,2022-07-10 22:23:58,5.4112,100.3354,81.9,83,20,3.44
55,Nikolskoye,RU,2022-07-10 22:23:13,59.7035,30.7861,57.09,98,31,2.01
56,Moanda,GA,2022-07-10 22:27:36,-1.5575,13.2178,79.75,52,100,3.74
